,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
                        WBBM-F B96.com,"Entertainment - Radio, Entertainment",80.379,0.036,100,100,100,4.814,0.578,0.537,149.478,3.869,1.86
                        WXRT 93 XRT,"Entertainment, Entertainment - Radio",61.988,0.028,100,100,,,,,,,
                    CBS Boston,Regional/Local,1443.126,0.644,100,100,100,60.592,32.636,8.635,2325.611,14.033,1.612
                        CBS Local Boston,Regional/Local,1405.455,0.627,100,100,100,55.735,29.786,7.751,2281.72,13.054,1.623
                        WBMX Mix 104.1,"Entertainment - Radio, Entertainment",13.028,0.006,100,100,,,,,,,
                    CBS Pittsburgh,Regional/Local,1214.95,0.542,100,100,100,83.992,7.652,5.853,2793.282,2.739,2.299
                        CBS Local Pittsburgh,Regional/Local,1164.802,0.52,100,100,100,79.273,7.377,5.568,2641.011,2.793,2.267
                    Radio.com Directory,"Entertainment, Entertainment - Radio",1159.585,0.518,100,100,100,105.85,6.554,7.507,4566.672,1.435,3.938
                        Radio.com Player,"Entertainment, Entertainment - Radio",723.628,0.323,100,100,100,81.509,4.925,5.272,3605.176,1.366,4.982
                        RADIO.COM*,"Entertainment, Entertainment - Radio",556.29,0.248,100,100,100,24.008,1.569,2.235,874.036,1.795,1.571
                    CBS Minnesota,Regional/Local,992.723,0.443,100,100,100,105.521,10.677,8.89,3695.04,2.89,3.722
                        CBS Local Minnesota,Regional/Local,964.088,0.43,100,100,100,100.779,10.261,8.541,3535.042,2.903,3.667
                    CBS DFW,Regional/Local,959.751,0.428,100,100,100,60.791,9.55,5.011,1880.623,5.078,1.959
                        CBS Local DFW,Regional/Local,893.111,0.399,100,100,100,48.606,7.945,4.019,1516.624,5.239,1.698
                    CBS Philly,Regional/Local,935.797,0.418,100,100,100,68.45,9.27,6.079,2248.622,4.122,2.403
                        CBS Local Philly,Regional/Local,910.157,0.406,100,100,100,63.112,8.474,5.567,2073.711,4.087,2.278
                    CBS Houston,Regional/Local,848.253,0.379,100,100,100,51.371,3.703,2.802,1680.695,2.203,1.981
                        CBS Local Houston,Regional/Local,761.88,0.34,100,100,100,43.035,3.122,2.186,1410.772,2.213,1.852
                    CBS Detroit,Regional/Local,742.129,0.331,100,100,100,58.299,3.795,3.338,1915.173,1.982,2.581
                        CBS Local Detroit,Regional/Local,628.398,0.28,100,100,100,45.636,3.038,2.368,1504.851,2.019,2.395
                        WDZH 98.7 AMP RADIO,"Entertainment, Entertainment - Radio",27.734,0.012,100,100,,,,,,,
                        WYCD 99.5 WYCD,"Entertainment, Entertainment - Radio",27.191,0.012,100,100,,,,,,,
                        WOMC 104.3 WOMC,"Entertainment, Entertainment - Radio",4.244,0.002,100,100,,,,,,,
                    CBS San Francisco,Regional/Local,727.478,0.325,100,100,100,69.611,4.92,4.831,2210.2,2.226,3.038
                        CBS Local San Francisco,Regional/Local,622.69,0.278,100,100,100,56.811,3.958,3.278,1795.625,2.204,2.884
                    CBS Sacramento,Regional/Local,691.521,0.309,100,100,100,47.492,2.358,2.519,1490.784,1.582,2.156
                        CBS Local Sacramento,Regional/Local,545.186,0.243,100,100,100,39.13,1.917,2.03,1224.295,1.566,2.246
                        KSFM 1025 KSFM,"Entertainment - Radio, Entertainment",11.663,0.005,100,100,,,,,,,
                    CBS Baltimore,Regional/Local,685.197,0.306,100,100,100,39.281,8.175,3.917,1305.157,6.264,1.905
                        CBS Local Baltimore,Regional/Local,593.753,0.265,100,100,100,31.295,6.893,3.175,1020.311,6.756,1.718
                    CBS Denver,Regional/Local,668.499,0.298,100,100,100,42.009,4.236,2.664,1600.12,2.648,2.394
                        CBS Local Denver,Regional/Local,663.463,0.296,100,100,100,40.881,2.741,2.532,1559.179,1.758,2.35
                    CBS DC,Regional/Local,606.415,0.271,100,100,100,36.655,2.411,2.63,1183.093,2.038,1.951
                        CBS Local DC,Regional/Local,573.862,0.256,100,100,100,32.874,1.88,2.255,1064.556,1.766,1.855
                    CBS Cleveland,Regional/Local,600.048,0.268,100,100,100,34.211,1.812,1.845,1060.536,1.709,1.767
                        CBS Local Cleveland,Regional/Local,554.392,0.247,100,100,100,25.126,1.332,1.362,778.916,1.71,1.405
                    CBS Miami,Regional/Local,483.713,0.216,100,100,100,15.776,6.994,1.901,572.263,12.221,1.183
                        CBS Local Miami,News/Information,483.519,0.216,100,100,100,15.738,6.981,1.897,571.027,12.226,1.181
                    CBS St. Louis,Regional/Local,445.34,0.199,100,100,100,23.389,1.578,1.64,752.697,2.096,1.69
                        CBS Local St Louis,Regional/Local,372.818,0.166,100,100,100,18.081,0.876,1.096,575.383,1.523,1.543
                    CBS Atlanta,Regional/Local,397.319,0.177,100,100,100,26.877,1.194,1.439,890.617,1.341,2.242
                        CBS Local Atlanta,Regional/Local,351.881,0.157,100,100,100,19.056,0.709,0.976,638.385,1.11,1.814
                        WVEE V-103 The Peoples Station,"Entertainment, Entertainment - Radio",23.809,0.011,100,100,,,,,,,
                    CBS Las Vegas,Regional/Local,389.537,0.174,100,100,100,20.518,1.194,1.252,636.379,1.876,1.634
                        CBS Local Las Vegas,Regional/Local,356.109,0.159,100,100,100,16.815,0.967,0.96,521.256,1.856,1.464
                    CBSLOCAL.COM*,Regional/Local,337.804,0.151,100,100,100,12.116,0.645,1.122,407.018,1.584,1.205
                    CBS Charlotte,Regional/Local,307.532,0.137,100,100,100,18.348,1.106,1.301,599.824,1.844,1.95
                        CBS Local Charlotte,Regional/Local,58.056,0.026,100,100,,,,,,,
                        WPEG Fm 98,"Entertainment - Radio, Entertainment",27.464,0.012,100,100,,,,,,,
                    CBS Tampa,Regional/Local,304.088,0.136,100,100,100,19.692,1.054,0.943,630.487,1.671,2.073
                        CBS Local Tampa,Regional/Local,232.358,0.104,100,100,100,13.948,0.757,0.545,439.235,1.723,1.89
                        WLLD Wild 94.1,"Entertainment - Radio, Entertainment",44.763,0.02,100,100,100,3.404,0.144,0.2,111.095,1.3,2.482
                    CBS Seattle,Regional/Local,235.538,0.105,100,100,100,19.157,0.849,0.897,593.873,1.43,2.521
                        CBS Local Seattle,Regional/Local,52.038,0.023,100,100,,,,,,,
                    CBS Connecticut,Regional/Local,156.702,0.07,100,100,100,6.986,1.646,1,246.348,6.683,1.572
                        CBS Local Connecticut,Regional/Local,25.934,0.012,100,100,,,,,,,
                        WZMX Hot 93.7,"Entertainment - Radio, Entertainment",12.738,0.006,100,100,,,,,,,
                    CBS Orlando,"Entertainment - Radio, Entertainment",15.554,0.007,100,100,,,,,,,
                    CBS Sports Radio,"Entertainment, Entertainment - Radio",11.695,0.005,100,100,,,,,,,
                    CW Local Sites,"Entertainment, Entertainment - TV",10.084,0.005,100,100,,,,,,,
                CBSNEWS.COM*,"News/Information, News/Information - General News",9212.583,4.112,100,100,100,719.729,38.781,48.465,33078.061,1.172,3.591
                    CBSNews.com MoneyWatch,Business/Finance,1430.4,0.638,100,100,100,85.937,1.304,4.019,3147.092,0.414,2.2
                    CBSNews.com 60 Minutes,"News/Information, News/Information - General News",216.379,0.097,100,100,100,13.913,0.205,0.52,431.299,0.475,1.993
                    CBSNews.com Evening News,"News/Information, News/Information - General News",98.316,0.044,100,100,,,,,,,
                    CBSNews.com Health,"News/Information, News/Information - General News",74.075,0.033,100,100,,,,,,,
                    CBSNews.com US,News/Information,50.08,0.022,100,100,,,,,,,
                    CBSNews.com Crime,"News/Information, News/Information - General News",46.502,0.021,100,100,,,,,,,
                    CBSNews.com SciTech,"News/Information, News/Information - General News",29.326,0.013,100,100,,,,,,,
                    CBSNews.com 48 Hours,"News/Information - General News, News/Information",22.888,0.01,100,100,,,,,,,
                    CBSNews.com World,News/Information,15.038,0.007,100,100,,,,,,,
                    Sunday Morning,"News/Information, News/Information - General News",13.28,0.006,100,100,,,,,,,
                    Face The Nation,News/Information,6.929,0.003,100,100,,,,,,,
                    CBSNews.com Entertainment,"News/Information, News/Information - General News",5.617,0.003,100,100,,,,,,,
                    CBSNews.com Politics,"News/Information, News/Information - Politics",5.47,0.002,100,100,,,,,,,
                FINDARTICLES.COM,"Business/Finance, Business/Finance - News/Research",36.492,0.016,100,100,,,,,,,
            CBS.COM,"Entertainment - TV, Entertainment",8761.866,3.911,100,100,100,971.26,95.073,92.38,40575.083,2.343,4.631
                CBS.COM Primetime,"Entertainment - TV, Entertainment",6647.381,2.967,100,100,100,747.194,65.479,57.199,31423.106,2.084,4.727
                    The Big Bang Theory,"Entertainment - TV, Entertainment",1392.842,0.622,100,100,100,96.561,6.79,6.259,3288.29,2.065,2.361
                    How I Met Your Mother,"Entertainment - TV, Entertainment",1316.61,0.588,100,100,100,98.262,8.227,5.873,3373.558,2.439,2.562
                    NCIS,"Entertainment - TV, Entertainment",1038.021,0.463,100,100,100,74.827,4.329,3.635,2546.251,1.7,2.453
                    Survivor,"Entertainment, Entertainment - TV",958.075,0.428,100,100,100,59.774,7.994,4.917,2170.356,3.683,2.265
                    The Mentalist,"Entertainment, Entertainment - TV",852.841,0.381,100,100,100,55.534,4.344,2.78,1850.719,2.347,2.17
                    Elementary,"Entertainment, Entertainment - TV",852.42,0.38,100,100,100,55.864,1.926,2.538,1931.987,0.997,2.266
                    Person Of Interest,"Entertainment, Entertainment - TV",839.765,0.375,100,100,100,52.28,1.642,2.042,1713.758,0.958,2.041
                    Criminal Minds,"Entertainment - TV, Entertainment",832.078,0.371,100,100,100,57.79,4.114,2.969,1986.653,2.071,2.388
                    The Good Wife,"Entertainment, Entertainment - TV",823.822,0.368,100,100,100,60.326,2.498,2.799,2145.519,1.164,2.604
                    The Amazing Race,"Entertainment, Entertainment - TV",808.164,0.361,100,100,100,52.239,2.367,2.544,1857.531,1.274,2.298
                    Hawaii Five-O On CBS,"Entertainment, Entertainment - TV",784.035,0.35,100,100,100,51.087,2.665,2.423,1695.759,1.572,2.163
                    NCIS: Los Angeles,"Entertainment, Entertainment - TV",781.032,0.349,100,100,100,52.189,3.354,2.478,1827.898,1.835,2.34
                    CSI: Crime Scene Investigation,"Entertainment, Entertainment - TV",750.156,0.335,100,100,100,43.748,3.938,2.321,1454.79,2.707,1.939
                    Blue Bloods,"Entertainment, Entertainment - TV",704.351,0.314,100,100,100,44.948,1.219,1.758,1502.966,0.811,2.134
                    Hostages,"Entertainment, Entertainment - TV",683.068,0.305,100,100,100,41.203,1.516,1.871,1428.248,1.062,2.091
                    Two and a Half Men,"Entertainment - TV, Entertainment",679.774,0.303,100,100,100,39.246,1.491,1.615,1292.125,1.154,1.901
                    2 Broke Girls,"Entertainment, Entertainment - TV",647.363,0.289,100,100,100,38.167,1.419,1.619,1243.459,1.141,1.921
                    The Millers,"Entertainment - TV, Entertainment",642.903,0.287,100,100,100,30.732,1.019,1.206,993.611,1.026,1.546
                    The Crazy Ones,"Entertainment - TV, Entertainment",641.199,0.286,100,100,100,34.603,0.94,1.355,1112.485,0.845,1.735
                    Mike & Molly,"Entertainment, Entertainment - TV",625.601,0.279,100,100,100,32.967,1.141,1.315,1055.339,1.081,1.687
                    Mom,"Entertainment, Entertainment - TV",570.781,0.255,100,100,100,32.352,1.148,1.303,1071.263,1.071,1.877
                    Undercover Boss,"Entertainment, Entertainment - TV",546.021,0.244,100,100,100,27.726,0.45,1.019,917.521,0.49,1.68
                    Unforgettable,"Entertainment, Entertainment - TV",26.072,0.012,100,100,,,,,,,
                    Under The Dome,"Entertainment - TV, Entertainment",22.761,0.01,100,100,,,,,,,
                    American Baking Competition,"Entertainment - TV, Entertainment",13.936,0.006,100,100,,,,,,,
                    Big Brother,"Entertainment - TV, Entertainment",12.194,0.005,100,100,,,,,,,
                    CSI: NY,"Entertainment, Entertainment - TV",3.943,0.002,100,100,,,,,,,
                    Rules Of Engagement,"Entertainment - TV, Entertainment",3.471,0.002,100,100,,,,,,,
                CBS.COM Daytime,"Entertainment, Entertainment - TV",717.331,0.32,100,100,100,82.611,12.103,10.863,3307.754,3.659,4.611
                    The Young and the Restless,"Entertainment - TV, Entertainment",404.383,0.18,100,100,100,39.192,5.325,4.166,1800.338,2.958,4.452
                    The Bold and the Beautiful,"Entertainment - TV, Entertainment",248.78,0.111,100,100,100,33.461,5.817,4.434,1266.909,4.591,5.092
                    The Talk,"Entertainment - TV, Entertainment",142.864,0.064,100,100,100,14.421,0.922,1.958,464.657,1.984,3.252
                    The Price is Right,"Entertainment - TV, Entertainment",31.897,0.014,100,100,100,1.301,0.089,0.095,42.677,2.093,1.338
                CBS.com Movies and Specials,"Entertainment, Entertainment - TV",668.837,0.299,100,100,100,38.524,1.339,1.838,1241.441,1.079,1.856
                    Victoria's Secret Fashion Show,"Entertainment, Entertainment - TV",295.8,0.132,100,100,100,21.383,0.951,1.046,697.812,1.363,2.359
                    Holiday Central,"Entertainment, Entertainment - TV",179.847,0.08,100,100,100,8.042,0.2,0.33,256.452,0.778,1.426
                    Grammy's,"Entertainment, Entertainment - TV",94.684,0.042,100,100,100,3.755,0.055,0.18,118.286,0.466,1.249
                    People's Choice Awards,"Entertainment, Entertainment - TV",70.565,0.031,100,100,100,2.291,0.066,0.112,80.339,0.825,1.139
                    ACMs,"Entertainment, Entertainment - TV",7.678,0.003,100,100,,,,,,,
                CBS.COM Classics,"Entertainment, Entertainment - TV",97.359,0.043,100,100,100,7.456,0.642,0.495,306.717,2.094,3.15
                    Star Trek,"Entertainment, Entertainment - TV",12.786,0.006,100,100,,,,,,,
                    I Love Lucy,"Entertainment, Entertainment - TV",7.264,0.003,100,100,,,,,,,
                    Star Trek: Animated,"Entertainment, Entertainment - TV",6.624,0.003,100,100,,,,,,,
                    The Brady Bunch,"Entertainment, Entertainment - TV",4.641,0.002,100,100,,,,,,,
                    Dynasty,"Entertainment, Entertainment - TV",3.927,0.002,100,100,,,,,,,
                    The Twilight Zone,"Entertainment, Entertainment - TV",2.729,0.001,100,100,,,,,,,
                    Happy Days,"Entertainment, Entertainment - TV",2.402,0.001,100,100,,,,,,,
                    MacGyver,"Entertainment, Entertainment - TV",1.15,0.001,100,100,,,,,,,
                    Perry Mason,"Entertainment, Entertainment - TV",0.762,0,100,100,,,,,,,
                    Family Ties,"Entertainment, Entertainment - TV",0.697,0,100,100,,,,,,,
                    Taxi - CBS.COM Classics,"Entertainment, Entertainment - TV",0.157,0,100,100,,,,,,,
                CBS.COM Latenight,"Entertainment - TV, Entertainment",51.783,0.023,100,100,,,,,,,
                    Live On Letterman,"Entertainment, Entertainment - TV",34.181,0.015,100,100,,,,,,,
                    The Late Late Show With Craig Ferguson,"Entertainment - TV, Entertainment",18.208,0.008,100,100,,,,,,,
        CNET,"Technology, Technology - News",26642.551,11.891,100,100,100,1906.392,100.492,177.61,72992.219,1.377,2.74
            CNET Downloads,"Services, Services - Downloads",12780.68,5.704,100,100,100,621.276,33.734,54.469,20863.786,1.617,1.632
                DOWNLOAD.COM,"Services - Downloads, Services",0.437,0,100,100,,,,,,,
            CNET Reviews,"Technology, Technology - News",10303.106,4.598,100,100,100,734.058,40.85,70.796,25200.823,1.621,2.446
            CNET News,"Technology - News, Technology",5238.889,2.338,100,100,100,320.066,10.707,25.835,10735.315,0.997,2.049
            CNET.COM*,"Technology, Technology - News",5195.584,2.319,100,100,100,344.461,10.037,18.486,12158.553,0.825,2.34
            CNET Video,"Technology, Technology - News",1364.976,0.609,100,100,100,89.419,1.676,3.252,6560.063,0.255,4.806
            CNET International,Corporate Presence,703.521,0.314,100,100,100,27.949,1.509,1.303,883.665,1.708,1.256
                CNET.CO.UK,"Technology - News, Technology",412.171,0.184,100,100,100,16.328,0.904,0.728,517.905,1.745,1.257
                CNET Asia,"Technology, Technology - News",166.074,0.074,100,100,100,6.797,0.419,0.256,210.695,1.987,1.269
                CNET.COM.AU,Technology,139.006,0.062,100,100,100,5.145,0.187,0.307,160.752,1.165,1.156
            CNET Shopper.com,"Retail - Comparison Shopping, Retail",231.486,0.103,100,100,100,12.209,0.295,0.508,383.269,0.77,1.656
            ZOL.COM.CN,"Technology - News, Technology",154.581,0.069,100,100,100,6.502,0.463,1.099,204.722,2.26,1.324
            PCHOME.NET,"Technology - News, Technology",108.585,0.048,100,100,100,4.317,0.169,0.372,136.671,1.233,1.259
            CNET Channel,Technology,0.493,0,100,100,,,,,,,
                CHANNELONLINE.COM,Technology,0.493,0,100,100,,,,,,,
        TV Guide,"Entertainment, Entertainment - TV",15858.29,7.078,100,100,100,1251.135,61.396,98.952,45987.668,1.335,2.9
            TVGUIDE.COM,"Entertainment - TV, Entertainment",9321.521,4.16,100,100,100,728.118,33.446,57.93,26342.154,1.27,2.826
            Chow,"Lifestyles - Food, Lifestyles",5043.279,2.251,100,100,100,254.295,12.704,13.764,8306.216,1.529,1.647
                CHOW.COM,"Lifestyles - Food, Lifestyles",5043.279,2.251,100,100,100,254.295,12.704,13.764,8306.216,1.529,1.647
            TV.COM,"Entertainment, Entertainment - TV",4698.8,2.097,100,100,100,355.981,14.599,26.322,12770.026,1.143,2.718
            TVSHOWSONDVD.COM,"Entertainment, Entertainment - TV",100.088,0.045,100,100,100,14.006,0.465,0.857,502.613,0.924,5.022
        GameSpot,"Games - Gaming Information, Games",13085.023,5.84,100,100,100,1452.507,320.565,178.682,56025.133,5.722,4.282
            GAMEFAQS.COM,"Games, Games - Gaming Information",5741.558,2.563,100,100,100,744.096,226.018,101.046,29303.186,7.713,5.104
            GAMESPOT.COM*,"Games - Gaming Information, Games",3512.416,1.568,100,100,100,270.536,40.267,18.183,9357.502,4.303,2.664
            LAST.FM,"Entertainment - Music, Entertainment",3362.793,1.501,100,100,100,224.262,21.134,27.525,8136.043,2.598,2.419
            METACRITIC.COM,Entertainment,1830.896,0.817,100,100,100,114.97,9.867,14.421,3965.116,2.488,2.166
            GIANTBOMB.COM,"Games - Gaming Information, Games",1359.373,0.607,100,100,100,110.438,7.177,7.653,4136.871,1.735,3.043
            COMICVINE.COM,Lifestyles,726.876,0.324,100,100,100,79.436,5.916,6.862,2948.596,2.006,4.057
            GAMEKULT.COM,"Games, Games - Gaming Information",248.273,0.111,100,100,100,9.32,0.208,0.359,289.207,0.718,1.165
            ONGAMERS.COM,"Games, Games - Gaming Information",203.701,0.091,100,100,100,17.439,0.756,0.889,559.705,1.351,2.748
            GAMERANKINGS.COM,"Games - Gaming Information, Games",61.309,0.027,100,100,100,6.134,0.43,1.803,214.575,2.002,3.5
            GameCenter (App),Games,54.6,0.024,100,100,,11.074,0,0,,,
            SPORTSGAMER.COM,Games,0.524,0,100,100,,,,,,,
        CBS Interactive Music Group,"Entertainment, Entertainment - Music",7007.434,3.128,100,100,100,439.426,22.583,22.328,14207.476,1.59,2.027
            METROLYRICS.COM,"Entertainment - Music, Entertainment",6560.698,2.928,100,100,100,412.376,21.334,20.437,13448.418,1.586,2.05
            MP3.COM,"Entertainment, Entertainment - Music",332.517,0.148,100,100,100,14.656,0.614,1.255,465.125,1.321,1.399
            Last.fm Ltd,"Entertainment - Music, Entertainment",200.618,0.09,100,100,100,18.576,0.451,0.636,486.539,0.927,2.425
                LASTFM.ES,"Entertainment, Entertainment - Music",32.472,0.014,100,100,,,,,,,
                LAST.FM Desktop (App),"Entertainment, Entertainment - Music",24.123,0.011,100,100,,,,,,,
        ZDNet Websites,"Technology - News, Technology",5172.477,2.309,100,100,100,313.036,7.545,16.612,10978.131,0.687,2.122
            ZDNet,"Technology, Technology - News",2701.608,1.206,100,100,100,155.689,3.812,8.253,5133.968,0.742,1.9
                ZDNET.COM*,"Technology - News, Technology",2677.397,1.195,100,100,100,153.31,3.742,8.103,5056.864,0.74,1.889
            TechRepublic,"Technology, Technology - News",2073.427,0.925,100,100,100,111.691,3.008,4.652,3483.393,0.864,1.68
                TECHREPUBLIC.COM,"Technology - News, Technology",2063.756,0.921,100,100,100,111.364,2.999,4.626,3473.239,0.864,1.683
            SMARTPLANET.COM,"Directories/Resources - Reference, Directories/Resources",1018.041,0.454,100,100,100,68.516,0.726,3.431,2435.179,0.298,2.392
            ZDNet International,"Technology, Technology - News",84.117,0.038,100,100,100,3.019,0.096,0.203,119.647,0.8,1.422
        CBS Television Distribution,"Entertainment, Entertainment - TV",2609.568,1.165,100,100,100,118.759,11.997,17.39,4189.306,2.864,1.605
            ETONLINE.COM,"Entertainment - TV, Entertainment",1462.863,0.653,100,100,100,82.25,6.35,10.839,2914.971,2.178,1.993
            RACHAELRAYSHOW.COM,"Entertainment - TV, Entertainment",428.119,0.191,100,100,100,14.799,2.193,2.804,490.412,4.472,1.146
            DRPHIL.COM,Lifestyles,375.308,0.168,100,100,100,14.194,1.676,1.882,457.886,3.66,1.22
            THEDOCTORSTV.COM,"Entertainment - TV, Entertainment",217.638,0.097,100,100,100,13.652,0.629,0.948,440.059,1.43,2.022
            INSIDEEDITION.COM,"Entertainment - News, Entertainment",97.526,0.044,100,100,100,4.057,0.278,0.255,129.898,2.142,1.332
            ARSENIOHALL.COM,"Entertainment, Entertainment - TV",81.853,0.037,100,100,100,3.683,0.475,0.563,121.842,3.895,1.489
            STARTSWITHYOU.COM,Lifestyles,3.089,0.001,100,100,,,,,,,
        Showtime,"Entertainment, Entertainment - TV",820.735,0.366,100,100,100,39.897,2.288,3.616,1311.668,1.744,1.598
            Showtime Online,"Entertainment, Entertainment - Movies",705.981,0.315,100,100,100,31.996,1.625,2.204,1008.215,1.612,1.428
                SHO.COM*,Entertainment,705.981,0.315,100,100,100,31.996,1.625,2.204,1008.215,1.612,1.428
            SHOWTIMEANYTIME.COM,"Entertainment - TV, Entertainment",130.167,0.058,100,100,100,6.203,0.363,0.499,228.903,1.585,1.759
            ORDERSHOWTIME.COM,"Entertainment, Entertainment - Movies",44.957,0.02,100,100,,,,,,,
            BEATTHEINSIDERS.COM,"Gambling - Lotto/Sweepstakes, Gambling",25.07,0.011,100,100,,,,,,,
        Simon & Schuster,"Retail - Books, Retail",702.887,0.314,100,100,100,26.324,0.805,1.665,817.362,0.985,1.163
            PIMSLEUR.COM,"Retail, Retail - Books",519.782,0.232,100,100,100,19.402,0.419,0.698,602.79,0.695,1.16
            SIMONANDSCHUSTER.COM,"Retail - Books, Retail",186.799,0.083,100,100,100,6.802,0.381,0.952,210.859,1.809,1.129
            SIMONANDSCHUSTER.NET,"Retail, Retail - Books",2.086,0.001,100,100,,,,,,,
        Star Trek Sites,Entertainment,242.765,0.108,100,100,100,19.432,1.349,3.503,763.368,1.767,3.144
            STARTREK.COM,Entertainment,242.765,0.108,100,100,100,19.432,1.349,3.503,763.368,1.767,3.144
        CBSSTORE.COM,Retail,208.482,0.093,100,100,100,7.942,0.712,1.408,251.973,2.826,1.209
        HELP.COM,Services,181.467,0.081,100,100,100,8.437,0.252,0.293,262.729,0.958,1.448
        LINUXQUESTIONS.ORG,Technology,177.829,0.079,100,100,100,7.103,0.058,0.31,259.461,0.223,1.459
        MYSIMON.COM,"Retail - Comparison Shopping, Retail",148.533,0.066,100,100,100,9.433,0.17,0.39,292.427,0.58,1.969
        XCAR.COM.CN,"Automotive, Automotive - Resources",113.581,0.051,100,100,100,15.985,2.529,12.325,533.881,4.738,4.7
        SEARCH.COM,Search/Navigation,98.395,0.044,100,100,100,5.908,0.202,0.535,221.623,0.912,2.252
        CBSRADIO.COM,Entertainment,74.593,0.033,100,100,,,,,,,
        CSTVAUCTIONS.COM,"Retail - Auctions, Retail",41.347,0.018,100,100,,,,,,,
        WCHA.COM,Sports,32.505,0.015,100,100,,,,,,,
        ONLYLADY.COM,Entertainment,26.736,0.012,100,100,,,,,,,
        CBSPRESSEXPRESS.COM,Corporate Presence,22.197,0.01,100,100,,,,,,,
        CBSINTERACTIVE.COM,Corporate Presence,5.854,0.003,100,100,,,,,,,
        KTSA.COM,"Entertainment - Radio, Entertainment",3.158,0.001,100,100,,,,,,,
        CBSFILMS.COM,"Entertainment, Entertainment - Movies",2.508,0.001,100,100,,,,,,,
        EVERYBODYLOVESRAY.COM,"Entertainment - TV, Entertainment",1.326,0.001,100,100,,,,,,,
        B105.COM,"Entertainment - Radio, Entertainment",0.857,0,100,100,,,,,,,
        TUNES.COM,"Entertainment, Entertainment - Music",0.44,0,100,100,,,,,,,
    Turner Digital,Corporate Presence,75400.587,33.652,100,100,100,14143.584,1797.747,1902.422,635730.494,2.828,8.431
        CNN Network,"News/Information - General News, News/Information",64041.758,28.583,100,100,100,12549.98,1454.638,1585.885,572455.347,2.541,8.939
            CNN,"News/Information - General News, News/Information",39243.767,17.515,100,100,100,8609.214,827.532,896.073,395390.525,2.093,10.075
                CNN.COM*,"News/Information, News/Information - General News",37657.018,16.807,100,100,100,8379.814,797.813,864.715,386463.172,2.064,10.263
                    CNN Homepage,"News/Information - General News, News/Information",21061.164,9.4,100,100,100,5284.454,266.334,322.131,255229.287,1.044,12.118
                    CNN US,"News/Information, News/Information - General News",13376.342,5.97,100,100,100,1945.135,93.525,77.904,66390.063,1.409,4.963
                    CNN World,"News/Information, News/Information - General News",10810.991,4.825,100,100,100,4091.863,232.819,195.138,141298.585,1.648,13.07
                    CNN Health,"Health, Health - Information",6987.28,3.119,100,100,100,666.402,30.75,27.025,21508.126,1.43,3.078
                    CNN Politics,"News/Information - Politics, News/Information",6155.929,2.747,100,100,100,502.465,26.232,21.836,16684.839,1.572,2.71
                    CNN Justice,"News/Information - General News, News/Information",5605.358,2.502,100,100,100,498.449,21.9,19.138,16121.465,1.358,2.876
                    CNN Living,Lifestyles,5575.446,2.488,100,100,100,705.304,31.917,27.252,22497.515,1.419,4.035
                    CNN Tech,"Technology - News, Technology",4653.16,2.077,100,100,100,799.762,36.501,30.063,25210.491,1.448,5.418
                    CNN Opinion,"News/Information, News/Information - General News",3877.756,1.731,100,100,100,439.636,21.638,15.77,14120.596,1.532,3.641
                    CNN Travel,"Travel - Information, Travel",3536.51,1.578,100,100,100,772.308,36.197,28.843,24546.221,1.475,6.941
                CNN.COM International Edition,"News/Information - General News, News/Information",3436.551,1.534,100,100,100,473.456,26.675,28.331,18342.349,1.454,5.337
                    CNN.COM Espanol,"News/Information - General News, News/Information",230.373,0.103,100,100,100,35.706,3.226,2.655,1546.376,2.086,6.712
                IREPORT.COM,"News/Information - General News, News/Information",704.283,0.314,100,100,100,25.334,1.286,1.225,845.09,1.522,1.2
                CNNMEXICO.COM,"News/Information, News/Information - General News",173.658,0.078,100,100,100,11.771,0.808,0.758,366.095,2.207,2.108
                CNN Arabic,"News/Information, News/Information - General News",59.153,0.026,100,100,,,,,,,
            Bleacher Report - Turner Sports Network,Sports,20213.324,9.021,100,100,100,2960.243,358.551,403.121,133862.007,2.679,6.622
                BLEACHERREPORT.COM,Sports,15022.683,6.705,100,100,100,2242.282,233.107,262.942,97577.564,2.389,6.495
                NBA,Sports,5842.08,2.607,100,100,100,663.419,88.895,101.238,30553.227,2.91,5.23
                    NBA.COM*,Sports,5785.258,2.582,100,100,100,658.773,88.202,100.314,30260.246,2.915,5.231
                        NBA D-League,Sports,74.652,0.033,100,100,100,4.261,0.263,0.69,159.059,1.654,2.131
                    WNBA.COM,Sports,79.477,0.035,100,100,100,5.47,0.29,0.521,190.661,1.519,2.399
                    KNICKSNOW.COM,Sports,51.568,0.023,100,100,100,6.568,0.31,0.397,217.615,1.423,4.22
                NCAA Sites,Sports,1609.71,0.718,100,100,100,225.346,26.344,28.802,7775.949,3.388,4.831
