,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
                Yahoo Philippines Mail,"Services, Services - e-mail",49.44,0.022,100,100,100,7.475,3.914,3.685,546.42,7.162,11.052
                Yahoo Japan Mail,"Services, Services - e-mail",48.357,0.022,100,100,,,,,,,
                Yahoo Vietnam Mail,"Services, Services - e-mail",42.406,0.019,100,100,100,8.166,2.575,2.914,408.154,6.31,9.625
                Yahoo Singapore Mail,"Services - e-mail, Services",34.297,0.015,100,100,,,,,,,
                Yahoo Hong Kong Mail,"Services - e-mail, Services",29.558,0.013,100,100,,,,,,,
                Yahoo Argentina Correo,"Services, Services - e-mail",23.444,0.01,100,100,,,,,,,
                Yahoo Germany Mail,"Services - e-mail, Services",22.298,0.01,100,100,,,,,,,
                Yahoo Brazil Mail,"Services, Services - e-mail",21.097,0.009,100,100,,,,,,,
                Yahoo Russia Mail,"Services, Services - e-mail",12.526,0.006,100,100,,,,,,,
                Yahoo Italy Mail,"Services - e-mail, Services",6.031,0.003,100,100,,,,,,,
                Yahoo Malaysia Mail,"Services - e-mail, Services",5.257,0.002,100,100,,,,,,,
                Yahoo Indonesia Mail,"Services, Services - e-mail",2.616,0.001,100,100,,,,,,,
                Yahoo China Mail,"Services - e-mail, Services",0.743,0,100,100,,,,,,,
            Yahoo-ABC News Network,"News/Information - General News, News/Information",75815.779,33.838,100,100,100,12890.473,1842.615,2297.878,563856.238,3.268,7.437
                Yahoo News,"News/Information, News/Information - General News",61185.349,27.308,100,100,100,8128.93,968.227,1078.492,324405.203,2.985,5.302
                    Yahoo U.S. News,"News/Information - General News, News/Information",39623.383,17.684,100,100,100,4829.43,535.128,687.786,183325.267,2.919,4.627
                    ABC News,"News/Information - General News, News/Information",33694.804,15.038,100,100,100,3959.957,324.277,255.894,138035.792,2.349,4.097
                        GMA On Yahoo,"News/Information - General News, News/Information",19489.345,8.698,100,100,100,1777.545,99.758,107.543,59389.177,1.68,3.047
                        ABCNEWS.COM,"News/Information - General News, News/Information",16991.354,7.583,100,100,100,1707.091,201.328,119.843,59464.12,3.386,3.5
                        ABC News On Yahoo,"News/Information - General News, News/Information",10490.627,4.682,100,100,100,724.266,23.19,27.93,23369.386,0.992,2.228
                    ASSOCIATEDCONTENT.COM*,"Directories/Resources, Directories/Resources - Reference",10346.55,4.618,100,100,100,406.252,13.425,12.814,12609.989,1.065,1.219
                    Yahoo Weather,"News/Information - Weather, News/Information",6865.156,3.064,100,100,100,631.671,31.904,47.644,22754.36,1.402,3.314
                    Yahoo Canada News,"News/Information - General News, News/Information",1465.002,0.654,100,100,100,126.64,6.679,4.742,3990.153,1.674,2.724
                        Yahoo Quebec News,"News/Information, News/Information - General News",8.606,0.004,100,100,,,,,,,
