URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/Bar+Crawl%3A+Detecting+Heavy+Drinking,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,14057567,3,2020,Accelerometer and transdermal alcohol content data from a college bar crawl. Used to predict heavy drinking episodes via mobile data.
http://archive.ics.uci.edu/ml/datasets/BAUM-1,BAUM-1,Time-Series,Classification,,1184,,2018,BAUM-1 dataset contains 1184 multimodal facial video clips collected from 31 subjects. The 1184 video clips contain spontaneous facial expressions and speech of 13 emotional and mental states.
http://archive.ics.uci.edu/ml/datasets/BAUM-2,BAUM-2,Time-Series,Classification,,1047,,2018,A multilingual audio-visual affective face database consisting of 1047 video clips of 286 subjects.
http://archive.ics.uci.edu/ml/datasets/Behavior+of+the+urban+traffic+of+the+city+of+Sao+Paulo+in+Brazil,Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series","Classification, Regression","Integer, Real",135,18,2018,The database was created with records of behavior of the urban traffic of the city of Sao Paulo in Brazil.
http://archive.ics.uci.edu/ml/datasets/Beijing+Multi-Site+Air-Quality+Data,Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series",Regression,"Integer, Real",420768,18,2019,This hourly data set considers 6 main air pollutants and 6 relevant meteorological variables at multiple sites in Beijing.
http://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data,Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",43824,13,2017,"This hourly data set contains the PM2.5 data of US Embassy in Beijing. Meanwhile, meteorological data from Beijing Capital International Airport are also included."
http://archive.ics.uci.edu/ml/datasets/Bias+correction+of+numerical+prediction+model+temperature+forecast,Bias correction of numerical prediction model temperature forecast,Multivariate,Regression,Real,7750,25,2020,"It contains fourteen numerical weather prediction (NWP)'s meteorological forecast data, two in-situ observations, and five geographical auxiliary variables over Seoul, South Korea in the summer."
http://archive.ics.uci.edu/ml/datasets/Bike+Sharing+Dataset,Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389,16,2013,This dataset contains the hourly and daily count of rental bikes between years 2011 and 2012 in Capital bikeshare system with the corresponding weather and seasonal information.
http://archive.ics.uci.edu/ml/datasets/BitcoinHeistRansomwareAddressDataset,BitcoinHeistRansomwareAddressDataset,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",2916697,10,2020,BitcoinHeist datasets contains address features on the heterogeneous Bitcoin network to identify ransomware payments.
http://archive.ics.uci.edu/ml/datasets/BLE+RSSI+Dataset+for+Indoor+localization+and+Navigation,BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Integer,6611,15,2018,This dataset contains RSSI readings gathered from an array of Bluetooth Low Energy (BLE) iBeacons in a real-world and operational indoor environment for localization and navigation purposes.
http://archive.ics.uci.edu/ml/datasets/BlogFeedback,BlogFeedback,Multivariate,Regression,"Integer, Real",60021,281,2014,Instances in this dataset contain features extracted from blog posts. The task associated with the data is to predict how many comments the post will receive.
http://archive.ics.uci.edu/ml/datasets/BLOGGER,BLOGGER,Multivariate,Classification,,100,6,2013,"In this paper, we look for to recognize the causes of users tend to cyber space in Kohkiloye and Boyer Ahmad Province in Iran"
http://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center,Blood Transfusion Service Center,Multivariate,Classification,Real,748,5,2008,Data taken from the Blood Transfusion Service Center in Hsin-Chu City in Taiwan -- this is a classification problem.
http://archive.ics.uci.edu/ml/datasets/Breast+Cancer,Breast Cancer,Multivariate,Classification,Categorical,286,9,1988,Breast Cancer Data (Restricted Access)
http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Coimbra,Breast Cancer Coimbra,Multivariate,Classification,Integer,116,10,2018,Clinical features were observed or measured for 64 patients with breast cancer and 52 healthy controls.
http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995,Diagnostic Wisconsin Breast Cancer Database
http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992,Original Wisconsin Breast Cancer Database
